"English sentence","Swahili Translation"
"Let's go out on the floor!","Hebu kwenda nje kwenye sakafu!"
"We can leverage the social but we also want to do it in a very different way.","Tunaweza kujiinua kijamii lakini sisi pia wanataka kufanya hivyo kwa njia tofauti sana."
"'P,' of course, stands for 'Papier.'","'P, bila shaka, anasimama kwa' Papier."
"Right? I have nothing, plus nothing, plus nothing, plus nothing. So I get nothing!","Sina chochote na nikijumulisha sufuri sipati chochote!"
"[Knocking.]","[Kugonga.] !?"
"Let's see for means;--O mischief, thou art swift To enter in the thoughts of desperate men!","Hebu angalia kwa maana, - O ufisadi, wewe ni mwepesi wa kuingia katika mawazo ya kukata tamaa!"
"'Yes, I think you'd better leave off,' said the Gryphon: and Alice was only too glad to do so.","'Ndiyo, nadhani wewe d bora kuondoka mbali,' alisema Gryphon: Alice alikuwa na furaha sana tu kufanya hivyo."
"Say cheese.","Sema jibini."
"""I am Mr. Holmes,"" answered my companion, looking at her with a questioning and rather startled gaze.","""Mimi Mheshimiwa Holmes,"" akajibu rafiki yangu, kuangalia saa yake na kuhoji na badala startled nadhari."
"Two plus three.","Mbili jumulisha na tatu"
"He looked over at the alarm clock ticking away by the chest of drawers.","Akatazama juu katika saa ya kengele ticking mbali na almari."
"It opened, stood open for a moment, and then closed with a slam.","Ni wazi, walisimama wazi kwa muda, na kisha kufungwa na slam."
"Mr. Manager, do not stay.","Mheshimiwa Meneja, wala kukaa."
"FRlAR God pardon sin! wast thou with Rosaline?","FRIAR Mungu msamaha dhambi! hukuwa na Rosaline?"
"He was a shortish little man, and he wore a high hat, and he was running so fast that his legs verily twinkled.","Alikuwa shortish kidogo mtu, na yeye alivaa kofia ya juu, na yeye alikuwa akikimbia kwa kasi kwamba miguu yake hakika twinkled."
"Maybe she can help.","Labda anaweza kusaidia."
"What if this mixture do not work at all?","Nini kama mchanganyiko hii kufanya kazi wakati wote? Je, naweza kuolewa, basi, kesho asubuhi? - !"
"He would sooner spring into Grete's face.","Angeweza mapema spring katika uso wa Grete."
"'As wet as ever,' said Alice in a melancholy tone: 'it doesn't seem to dry me at all.'","'Kama mvua kama milele,' alisema kwa sauti ya Alice melancholy: 'haionekani kwa kavu mimi wakati wote. '"
"This is a brain.","Huu ni ubongo."
"Hold, there is forty ducats: let me have A dram of poison; such soon-speeding gear","Kushikilia, kuna arobaini ducats: basi mimi na dram wa sumu; vile kasi ya haraka-gear"
"[Progress]","Maendeleo]"
"ROMEO This gentleman, the prince's near ally,","Romeo Hii muungwana, mkuu wa karibu na mshirika,"
"Constantly intent only on creeping along quickly, he hardly paid any attention to the fact that no word or cry from his family interrupted him.","Daima dhamira tu juu ya mnyama pamoja haraka, yeye vigumu kulipwa yoyote makini na ukweli kwamba hakuna neno au kilio kutoka familia yake kuingiliwa yake."
"'And yet what a dear little puppy it was!' said Alice, as she leant against a buttercup to rest herself, and fanned herself with one of the leaves:","'Na hata kile kidogo dear puppy ilikuwa!' Alisema Alice, kama yeye leant dhidi ya"
"""Perhaps it is the key to the garden!"" &gt;","""Pengine ni muhimu kwa shamba!"" &gt;"
"PETER Anon?","PETER Anon?"
"I don't want to hurt you, but if you behave like a frantic rustic, I must.","Sitaki kukuumiza, lakini kama tabia kama rustic na hofu, mimi lazima."
"""They would have had the lady's purse and watch if it hadn't been for him.","""Wao bila kuwa na mfuko wa fedha wa mwanamke na kuangalia kama alikuwa na si kwa ajili yake."
"There was not one hireling there.","Hakukuwa na mtu wa mshahara moja huko."
"Be one of them, and you will know all that there is to know.","Kuwa mmoja wao, na wewe unajua kwamba kuna kujua."
"They represent branches of the human imagination that go back to the dawn of time.","Yanaonyesha matawi ya mawazo ya binadamu kwamba nenda nyuma kwenye mwanzo wa nyakati."
"Brister""--Scipio Africanus he had some title to be called--""a man of color,"" as if he were discolored.","Brister ""- Scipio africanus yeye alikuwa na cheo kuitwa -"" mtu wa rangi, ""na kwamba alikuwa kupauka."
"And even as he did so the flap of the bar was shut down and the bolt clicked, and then with a tremendous thud the catch of the door snapped and the bar-parlour door burst open.","Na hata kama alifanya hivyo flap ya bar lilifungwa na bolt clicked, na basi kwa thud kubwa catch ya mlango na mlango snapped bar-Parlor kupasuka wazi."
"Might I beg that you would have the goodness to sit down upon one of those boxes, and not to interfere?""","Nguvu naomba ninyi muwe na wema kukaa chini juu ya mmoja wa wale masanduku, na si kuingilia kati? """
"The richness and fullness of the dialogue in our democracy has not laid the basis for the kind of bold initiative that is really needed.","Ukubwa na uzito wa mazungumzo katika demokrasia yetu haujaweka msingi katika mikakati thabiti inayohitajika."
"Alice, 'to speak to this mouse?","Alice, 'kuzungumza na panya hili?"
"You go on playin' you out o' doors every day an' you'll get some flesh on your bones an' you won't be so yeller.""","Kwenda kwenye playin 'wewe nje o' milango ya kila siku 'utapata baadhi ya nyama juu ya mifupa yako"
"There was a conference, and the incredible evidence of a vociferous eye-witness.","Kulikuwa na mkutano huo, na ushahidi wa ajabu wa shahidi jicho-ukitoa sauti kubwa."
"Is not about that.","Si juu ya hilo."
"This is all U.N. statistics that have been available.","Hebu tuone. Unaweza kuona kule?"
"That's crazy!","Hiyo ni wazimu!"
"JULlET Sweet, so would I:","Juliet Sweet, hivyo I:"
"Now, if you begin to look at the idea that these cultures could create different realities, you could begin to understand some of their extraordinary discoveries.","Na sasa, ukianza kuzingatia wazo kwamba tamaduni hizi zinaweza kujenga mitazamo tofauti waweza kuanza kuelewa baadhi ya uvumbuzi wao wa ajabu."
"lonely, and the gardens are lonely.","lonely, na bustani ni upweke."
"""What is it for?"" she asked curiously.","""Kuna nini kwa?"" Aliuliza ajabu."
"Then she slipped through it, and shut it behind her, and stood with her back against it, looking about her and breathing quite fast with excitement, and wonder, and delight.","Kisha yeye amekwisha kwa njia hiyo, akamfunga, nyuma yake, na alisimama na nyuma yake dhidi ya ni, kuangalia juu yake na kupumua kwa haraka na msisimko, na ajabu, na furaha."
"Then he made an effort to turn the key in the lock with his mouth.","Kisha jitihada kugeuka muhimu katika kufuli kwa kinywa chake."
"These things make me different from you.","Vitu hivi vinanifanya niwe tofauti nanyi."
"So he's at jacob's huh?","Hivyo yeye katika huh Yakobo?"
"It could also be rewritten as three two times.","Pia ingeandikwa kama: tatu mara mbili"
"But to the earth some special good doth give; Nor aught so good but, strain'd from that fair use,","Lakini kwa baadhi ya nchi nzuri maalum mwenye kutoa, wala chochote nzuri lakini, strain'd kutokana na matumizi kuwa wa haki,"
"""Mrs. Hall,"" he said.","""Bibi Hall, ""alisema."
"If she should push the matter on, What would become of you?","Kama yeye anapaswa kushinikiza jambo juu ya, ya nini kuwa wewe?"
"She may or may not know.","Yeye au anaweza kujua."
"""Would you make friends with me?"" she said to the robin just as if she was speaking to a person.","""Je, wewe kuwa na marafiki na mimi?"" Alisema kwa robin tu kama yeye alikuwa akizungumza na mtu."
"""It's really,"" said Mr. Bunting with judicial emphasis, ""a most remarkable story."" &gt;","""Ni kweli,"" alisema Bw Bunting na mkazo wa mahakama, ""wa ajabu hadithi. "" &gt;"
"'Perhaps not,' Alice cautiously replied: 'but I know I have to beat time when I learn music.' 'Ah! that accounts for it,' said the","'Labda si,' Alice tahadhari alijibu: 'lakini najua mimi na kuwapiga wakati mimi kujifunza muziki. "" Ah! kwamba akaunti kwa ajili yake, 'alisema"
"ABRAHAM No better.","IBRAHIMU Hakuna bora."
"""Listen!""","""Sikiliza!"""
"Alice considered a little, and then said 'The fourth.'","Alice kuchukuliwa kidogo, kisha akasema 'nne.'"
"""It's a fair do,"" said Mr. Thomas Marvel, sitting up, taking his wounded toe in hand and fixing his eye on the third missile.","""It'sa huru na wa haki,"" alisema Mheshimiwa Thomas Usistaajabu, ameketi juu, kuchukua toe wake waliojeruhiwa katika mkono na fixing macho yake juu ya makombora ya tatu."
"Thus from my lips, by thine my sin is purg'd.","Hivyo kutokana na midomo yangu, na dhambi zako yangu ni purg'd."
"""It is both, or none,"" said he.","""Ni wote wawili, au hakuna,"" alisema."
"--COOK'S VOYAGES.","COOK 'S safari."
"The Hatter was the only one who got any advantage from the change: and Alice was a good deal worse off than before, as the March Hare had just upset the milk-jug into his plate.","Sungura alikuwa mmoja tu ambao got faida yoyote ya mabadiliko: na Alice alikuwa nzuri mpango mbaya kuliko ya kwanza, kama Hare Machi alikuwa tu upset maziwa-jug katika sahani yake."
"He got up, went to the window, and stared at the dusky hillside, and the dark little figure tearing down it.","Akaondoka, akaenda kwa dirisha, na stared katika kilima dusky, na giza kidogo takwimu kubomoa yake."
"JULlET O, swear not by the moon, the inconstant moon, That monthly changes in her circled orb,","Juliet O, kuapa si kwa mwezi, mwezi kigeugeu, kwamba kila mwezi mabadiliko katika yake circled orb,"
"I really had fun.","Mimi kwa kweli alikuwa na furaha."
"""What are you doing here?"" she said, and she took Mary by the arm and pulled her away.","""Unafanya nini hapa?"" Alisema, na yeye, Maria alichukua kwa mkono na vunjwa yake mbali."
"For instance, he cut out a small frame over the course of two or three evenings.","Kwa mfano, kukata sura ndogo katika kipindi cha jioni mbili au tatu."
"'Sure, it does, yer honour: but it's an arm for all that.'","'Hakika, hivyo, yer heshima: lakini ni mkono kwa yote.'"
"Getting a vacancy did not seem to be such a very easy matter, after all.","Kupata nafasi hawakuwa wanaonekana kuwa jambo kama rahisi sana, baada ya wote."
"What's there to hide!","Ni nini huko kwa kujificha!"
"""If you shout, I'll smash your face,"" said the Invisible Man, relieving his mouth.","""Kama mwaliko, mimi itabidi smash uso wako,"" alisema Man Invisible, relieving kinywa chake."
"To the top of the porch, to the top of the wall!","Juu ya ukumbi, na juu ya ukuta!"
"But it wouldn't stop there.","lakini haitaishia hapo tu."
"NURSE By my troth, it is well said;--for himself to mar, quoth 'a?--Gentlemen, can any of you tell me where I may find the young","Muuguzi By troth yangu, ni vema, - kwa ajili yake mwenyewe kwa mar, quoth '- Mabwana, unaweza yoyote ya wewe uniambie nipate wapi vijana?"
"Mr. Thomas Marvel was sitting with his feet in a ditch by the roadside over the down towards Adderdean, about a mile and a half out of Iping.","Mheshimiwa Thomas Usistaajabu alikuwa amekaa kwa miguu yake katika mtaro kando ya barabara ya chini kuelekea Adderdean, kuhusu mile na nje ya nusu ya Iping."
"Therefore I'm mad.'","Kwa hiyo mimi nina wazimu."
"You have suggested you are invisible.""","Wewe wamependekeza wewe ni asiyeonekana. """
"Nobody wants it, nobody cares for it, nobody ever goes into it.","Hakuna mtu anataka hivyo, hakuna anayejali kwa kuwa, hakuna mtu ambaye huenda milele ndani yake."
"Compared to the total amount of global warming pollution in the atmosphere, that amount could double if we cross this tipping point.","Ukilinganisha na jumla ya uchafuzi wa anga wenye kuleta ongezeko la joto duniani, Kiasi hiki chaweza'kuwa mara mbili endapo tutavuka ncha hii hatari."
"'They have their tails in their mouths--and they're all over crumbs.'","'Walikuwa na mikia yao katika midomo yao - na wao ni makombo yote juu ya.'"
"So when she was a sickly, fretful, ugly little baby she was kept out of the way, and when she became a sickly, fretful, toddling thing she was kept out of the way also.","Hivyo wakati akiwa mgonjwa, fretful, ugly kidogo mtoto alikuwa naendelea nje ya njia, na wakati yeye akawa mgonjwa, fretful, toddling kitu yeye aliwekwa nje ya njia pia."
"But in another moment he was beside her.","Lakini katika wakati mwingine alikuwa karibu naye."
"Anders, you've been playing with the beta version of Firefox 4?","Anders, tumekuwa kucheza na toleo la beta wa Firefox 4?"
"Old maid syndrome!","Kale msichana syndrome!"
"But my argument is, ""What's wrong with cafeterias?""","lakini msimamo ni kuwa, "" Kuna tatizo gani na migahawa?"""
"Don't take me easy!","Je, si kuchukua mimi rahisi!"
"He took up his burden again, and returned upstairs, looking about him and trying to account for the blood-spot.","Alichukua mzigo wake tena, na akarudi ghorofani, kuangalia juu yake, na kujaribu akaunti kwa ajili ya damu-doa."
"Brags of his substance, not of ornament:","Brags ya mali zake, sio ya pambo:"
"""I'm restless to-night,"" he said to himself.","""Mimi nina wasi wasi na usiku,"" alisema na nafsi yake mwenyewe."
"The cab and the landau with their steaming horses were in front of the door when I arrived.","Cab na Landau na wao kuanika farasi walikuwa mbele ya mlango wakati mimi aliwasili."
"MERCUTlO If love be rough with you, be rough with love;","MERCUTIO Kama upendo kuwa mbaya na wewe, kuwa mbaya na upendo;"
"One of my uncles said that my dad got shot two days ago","Moja ya yangu wajomba alisema kuwa baba yangu got risasi siku mbili iliyopita"
"He vanished absolutely.","Yeye akatoweka kabisa."
"And this promises to be interesting.","Na hii ahadi kuwa ya kuvutia."
"I can compare it to nothing but a large door mat, ornamented at the edges with little tinkling tags something like the stained porcupine quills round an Indian moccasin.","Naweza kulinganisha kwa kitu lakini kubwa kitanda mlango, darizi katika kingo na kidogo zikilia tags kitu kama quills kubadilika porcupine duru ya Hindi moccasin."
"If e'er thou wast thyself, and these woes thine,","Kama e'er ulikuwa yako mwenyewe, na matatizo haya, wako"
"Humanity's greatest desire is to belong and connect.","Lengo kubwa la ubinadamu ni kuuangana na kuwa pamoja na watu."
"CAPULET Send for the county; go tell him of this:","CAPULET Tuma kwa kata; kwenda kumwambia jambo hili:"
"Cultivation has well-nigh exterminated it.","Kilimo ina vizuri karibu exterminated yake."
